Operating Revenue ID	Local Government Operating Revenue	State Government Operating Revenue	Federal Government Operating Revenue	Other Operating Revenue
237	191407	19493	0	25914
238	11000	7023	3000	35774
239	42450	5781	0	4369
240	173210	9502	3000	13613
241	31039	6257	0	2369
242	22597	3856	0	3308
243	33205	2552	0	746
244	140700	26981	0	56599
245	279000	42004	8180	29655
246	181672	8560	19416	23333
247	170000	19711	0	4475
248	107325	5856	1000	350
249	20640	3516	1500	1500
250	129218	21517	0	9913
251	124914	16423	10000	241724
252	158443	12460	0	20075
253	8085802	431367	0	1101214
254	4385062	220919	135000	265075
255	0	2234	0	0
256	38504	5089	0	1834
257	58495	10063	0	2000
258	23767	5030	7000	42
259	445000	53288	11800	50913
260	29503	16302	0	128564
261	254914	55501	0	62688
262	324784	41145	25810	169080
263	3427888	190631	44556	309668
264	136034	10973	0	2116
265	72107	21696	0	47730
266	421732	77214	4790	32838
267	75114	32697	0	682212
268	54012	4169	0	2025
269	24071	3506	7000	3100
270	13600	5521	0	3650
271	21290	690	0	3377
272	340091	14637	10000	24548
273	28059	876	4000	1103
274	93707	7629	7000	5179
275	23000	1184	0	640
276	37331	928	0	2339
277	41253	1779	0	2156
278	23460	669	0	1387
279	581250	6541	7000	29214
280	124826	5887	0	12041
281	50703	1658	5000	2592
282	76080	4477	7000	4750
283	47958	5443	7000	0
284	28747	1216	0	0
285	4341	0	7000	10963
286	43478	1117	7000	1794
287	20090	1126	15000	0
288	133887	9077	11921	10121
289	8950	3445	0	63
290	24600	2667	0	0
291	104447	890	9880	11812
292	140650	6533	6080	11280
293	7993	2700	0	8720
294	15000	731	7200	10000
295	40408	1227	0	7296
296	19086	8150	6804	1588
297	20025	2019	7000	3100
298	170000	4822	7000	8465
299	22032	4999	0	4551
300	13875	721	2407	21500
301	25018	1042	7000	1769
302	1266706	241713	0	820749
303	27525	9874	0	0
304	30960	10535	0	2101
305	39343	1789	0	0
306	42600	1499	0	0
307	70373	3995	7000	0
308	46871	1673	0	976
309	51900	2339	0	0
310	15468609	589724	0	1034970
311	2823888	232662	0	225239
312	179790	21982	0	0
313	150493	75014	0	6656
314	784900	172356	0	67342
315	2894855	176598	0	126553
316	1771363	292206	0	86858
317	1203431	140296	0	66857
318	3267027	242120	0	99659
319	343705	57872	0	33595
320	2309057	161178	0	162867
321	1668324	209799	0	30831
322	1378055	175980	0	150611
323	750712	188059	0	11500
324	586302	99563	0	58000
325	2987833	124251	0	81579
326	2396819	264151	0	93081
327	1485553	146466	0	37081
328	440790	65645	0	53345
329	1005593	0	0	35589
330	332910	125259	0	33798
331	666499	82326	0	1389
332	578399	60039	0	0
333	596042	39836	0	0
334	217240	45962	0	12742
335	284976	79551	0	432550
336	453701	52840	0	16528
337	345802	45843	0	40135
338	160000	24555	0	9750
339	0	0	0	111440
340	651851	85183	0	319215
341	1043897	154697	0	35334
342	1422359	164472	0	0
343	468466	48921	0	0
344	35759	0	0	0
345	228681	0	0	0
346	2817415	201092	0	91753
347	1699702	129392	0	173134
348	1084648	119386	0	99303
349	985102	112794	0	71200
350	486140	79092	0	39132
351	79325	31233	0	22529
352	273300	0	0	0
353	82505	9182	0	0
354	124309	54700	0	21640
355	137708	40972	0	26430
356	133815	8909	0	8573
357	3408388	143858	0	472019
358	48023	1993	0	2912
359	164534	0	0	0
360	219980	0	0	0
361	25145	0	0	77702
362	481467	54618	0	0
363	123925	0	0	4950
364	38325	0	0	10945
365	311443	0	0	0
366	7848	1495	0	2186
367	548739	61306	0	33838
368	1623000	25000	42227	33917
369	1396648	23000	39	6000
370	81647	14100	0	0
371	558485	143000	43898	35000
372	176912	4339	25000	11653
373	18580142	25000	150000	1543517
374	1328936	0	23887	78594
375	654717	0	1250	21529
376	6156575	12252	49000	233996
377	4205584	15268	29046	111621
378	6036755	22596	20000	347107
379	31722726	424158	280602	910271
380	8639287	163173	64960	196796
381	3633252	8364	40100	17400
382	411048	0	0	3000
383	236513	0	0	0
384	5856087	25000	44087	131507
385	51538	0	20169	2550
386	1717707	7070	0	40799
387	28379838	84589	620985	930515
388	503638	23000	9700	2995
389	90791	0	3956	33055
390	1869506	23000	46094	8758
391	6021556	23000	30000	454078
392	17594	5330	0	8406
393	59960	0	14743	664939
394	4408178	8008	10452	250301
395	116630	0	0	0
396	320800	0	0	0
397	398200	135954	35505	12502
398	334676	22845	7000	0
399	173483	0	4100	0
400	52000	2000	0	2128
401	490109	83000	79038	14758
402	232271	0	0	0
403	181154	0	0	0
404	318677	0	46321	28027
405	87000	2000	7290	131
406	772786	0	0	92658
407	54425	0	0	1465
408	224131	0	6100	0
409	1292945	215283	0	0
410	1250000	0	0	145629
411	0	0	0	0
412	14040	0	6000	0
413	147784	0	0	6445
414	230200	0	21127	9507
415	162200	0	0	0
416	100560	5900	0	19488
417	327122	2000	6100	31032
418	106400	0	0	43000
419	63800	2000	0	0
420	68000	0	0	0
421	55600	2000	0	0
422	417371	1770	10250	0
423	333493	1770	0	1000
424	399927	1770	0	0
425	78909	1770	0	0
426	55454	1770	0	2000
427	508575	1770	0	2000
428	78485	0	0	0
429	334425	0	33455	0
430	274962	0	0	5000
431	59430	0	0	2953
432	893183	0	61480	15911
433	67249	0	0	0
434	1612897	0	30000	15612
435	1057113	2433	0	316633
436	2560241	0	8500	4259
437	205826	0	44000	0
438	276033	1200	0	14964
439	445576	0	0	0
440	177850	0	0	2000
441	227343	0	0	0
442	88014	647	0	0
443	428283	5584	0	7303
444	139143	0	0	0
445	4122957	15892	26900	128791
446	-3	-3	-3	-3
447	40283	0	0	2614
448	33719	0	0	0
449	21288	0	7000	0
450	248353	0	0	6598
451	75826	23000	0	0
452	167527	0	7000	1941
453	130276	0	0	0
454	11866	0	0	2327
455	37799	0	11671	2508
456	44725	0	0	0
457	16379	0	0	2425
458	82510	0	0	2696
459	21651663	244199	6239	3377547
460	3851191	10000	0	36948
461	2983297	0	5000	57199
462	239818	1000	0	5380
463	2753029	14298	7000	148527
464	809001	17126	5000	40997
465	8146544	15564	810459	394598
466	3053921	7000	0	71350
467	5480656	25115	0	492842
468	1018285	10000	35300	56200
469	16006855	30632	0	359228
470	10569801	27247	6186	371244
471	525175	20922	9000	0
472	1773548	0	0	926712
473	6161980	20858	2054	180171
474	3920511	0	0	74854
475	3093624	0	65316	0
476	392288	16199	0	49660
477	558033	18092	0	0
478	9361300	34736	0	439062
479	966177	0	0	319300
480	5301820	0	0	0
481	3004207	23850	0	309168
482	1196727	19741	15000	5220
483	253621	24304	0	0
484	1016413	20149	2226	45772
485	3065787	0	0	0
486	23622877	38597	39167	3863243
487	2414169	17892	0	33178
488	1191710	17035	41899	58974
489	3427406	0	0	13484
490	180000	6118	20000	8000
491	831000	19000	45000	62000
492	1829111	20770	10776	20521
493	653458	0	0	0
494	2724747	212591	92264	328172
495	2361400	0	0	40000
496	3531240	30000	0	227949
497	2657250	15569	0	559036
498	24907374	37218	62463	2045544
499	3391842	1800	0	329036
500	7775616	0	10000	272463
501	1780890	0	0	124583
502	3787003	45000	465200	0
503	1329300	15000	0	35000
504	3843993	29943	47000	301054
505	440062	17056	0	15119
506	171706	10000	0	11751
507	2553653	7000	0	6500
508	459064	0	0	8587
509	6914041	0	44466	656909
510	2000201	0	0	134795
511	777404	25780	0	61977
512	794786	0	0	15500
513	383666	0	0	30727
514	3941384	24451	0	36870
515	1374480	12294	0	64542
516	934514	0	6000	132010
517	14311637	0	7500	1523180
518	127454546	1065422	5871	3149060
519	122121047	121688	0	45792
520	959316	0	10000	43165
521	14101604	0	0	544984
522	2893476	0	0	64774
523	1924958	33968	0	312056
524	1049101	39971	0	59123
525	1935286	19646	0	243593
526	244000	0	0	12889
527	961591	5810	10000	93608
528	1827261	29563	0	138756
529	6890063	128579	48850	754616
530	2676596	0	5750	171250
531	1795476	29995	85279	0
532	4962393	0	0	332645
533	6931984	27843	9250	625863
534	2885289	33721	53501	46025
535	2283328	35862	25500	244990
536	6727899	22235	0	495183
537	26185506	52017	0	254071
538	4486081	14571	0	533122
539	4293272	39500	15000	0
540	41254333	336801	62628	1871515
541	4123832	0	0	115605
542	290162	0	0	0
543	4145600	7500	74417	333118
544	770366	0	0	140300
545	1228770	7000	0	2000
546	2291521	0	60000	0
547	7839707	5000	0	603770
548	6418629	0	0	817083
549	259431	0	0	13570
550	12432001	0	0	190852
551	1672074	0	0	77598
552	1978132	0	0	432925
553	387318	38989	0	84500
554	831902	0	0	0
555	1122505	17154	0	0
556	3665548	0	0	101504
557	6631764	74398	0	390057
558	4595753	59126	97127	64452
559	5584892	12270	44540	488914
560	3289035	22577	0	218789
561	30956134	68558	434330	2937006
562	4264500	3419	0	46784
563	868573	0	0	24534
564	692181	16037	45000	69918
565	14462042	89772	35933	1689266
566	1716128	0	0	10500
567	1915552	7000	0	61336
568	36268412	253756	50537	1386585
569	40025957	80687	95800	5693290
570	101611784	39103	28278	1584715
571	36480803	47016	113556	222321
572	47625	0	0	0
573	4983203	23000	20000	37000
574	7814519	40634	0	2794818
575	1281316	0	0	98737
576	23244913	47611	0	2661998
577	4814270	22643	0	456702
578	3382175	0	0	0
579	3325951	246150	276500	10000
580	5499096	48644	61388	1050202
581	7009726	167751	0	203687
582	34200556	76665	20927	2769201
583	12023642	10500	0	534674
584	1395300	20300	14000	59800
585	2495077	10000	7476	309514
586	11114173	0	18436	902000
587	744709	18029	0	69390
588	792340	0	0	24416
589	2058160	35624	12000	120216
590	839836	4000	60176	55116
591	444990	9215	0	273
592	17148653	39345	0	375148
593	15117592	21731	81471	688689
594	1533654	0	0	0
595	3674843	200239	57259	258219
596	9632276	112269	0	500983
597	866718	0	62580	309685
598	9494490	30727	0	489341
599	7591740	0	5300	288226
600	817671	28669	255719	157216
601	462098	0	34650	10000
602	7066380	0	10000	106996
603	291102	4639	0	26480
604	3810200	111994	0	132280
605	879265	0	0	0
606	887864	14676	0	94750
607	1584606	19009	32464	14400
608	6200873	32983	82224	508650
609	3025728	25000	0	48224
610	3235529	0	11036	428186
611	283106	0	0	0
612	1498170	48640	0	29847
613	5517316	14487	6000	858899
614	4295800	0	16500	171813
615	467000	0	0	20382
616	2494293	0	0	51908
617	403209	2500	7500	4500
618	4720	1934	189	3708
619	1816141	18128	6118	138228
620	2212425	0	0	180167
621	1760845	0	0	626980
622	334217	0	0	12780
623	645751	0	0	2671
624	1103928	13371	0	14890
625	7075752	0	0	211663
626	498435	0	0	20000
627	1308506	0	18000	78112
628	3464630	340090	0	577440
629	116780	5387	0	24688
630	2581879	0	0	629020
631	1809310	5000	0	224326
632	2973016	6283	36000	504248
633	12491675	7627140	142478	852198
634	1000000	0	0	0
635	1853882	7000	0	24646
636	1706245	12017	0	138017
637	4370616	0	0	0
638	629937	0	0	30000
639	837785	0	0	0
640	1920000	0	0	1786256
641	5143664	0	0	258127
642	1530343	0	5000	939000
643	13190581	76036	7076	482586
644	58983	3000	1159	1886
645	204440	3000	0	21654
646	22174048	47052	5169	1227663
647	472136	3489	4685	45060
648	4234947	71336	0	72688
649	5100	3000	0	0
650	925517	3234	0	48833
651	590122	3250	18910	96947
652	308759	3376	250	10738
653	7429690	21892	0	199313
654	2213751	13091	0	102373
655	663487	3000	250	10750
656	416368	3000	250	17478
657	129833	3000	0	6097
658	781521	4403	250	14116
659	126980	3000	750	18000
660	526426	3000	0	12768
661	94770	0	0	3000
662	597581	3729	0	13900
663	207041	3000	1714	26817
664	52065	3000	0	0
665	39499733	132540	21325	2078288
666	110863	3000	500	0
667	252323	3000	7725	13978
668	20365938	62804	125443	1348196
669	1996615	12256	0	0
670	4129464	9600	750	304432
671	763227	5439	6881	19847
672	1262036	7637	0	0
673	1554677	0	0	272902
674	255770	3000	3072	12114
675	7894978	38936	0	1036706
676	634658	3346	250	0
677	48000	3000	250	3590
678	2447113	0	17402	251355
679	313900	3000	0	0
680	1682899	3933	1250	165532
681	759488	4202	47021	53646
682	31907	3000	250	567
683	178364	3000	250	4784
684	5629	0	0	0
685	110056	3000	0	54856
686	166791	15710	250	31730
687	16573	3000	0	1250
688	61084	3000	0	0
689	23475717	118473	14700	1207101
690	71748	3000	0	0
691	53371	3000	250	14218
692	355029	3000	250	19100
693	139818	3000	250	49153
694	1091603	6408	250	84403
695	93021	3000	0	39147
696	421003	3000	250	7000
697	301336	3570	3047	10095
698	81547	3000	2920	20208
699	90392	3000	0	0
700	40767	3000	0	0
701	2290880	9939	0	31500
702	3217937	19424	10000	71243
703	1354210	5622	310	26660
704	2891086	15602	0	148640
705	69158	3000	0	6362
706	311975	3000	250	84874
707	32488	3000	0	5000
708	1607262	0	0	49554
709	6078291	33106	6872	224221
710	9200	3000	0	18141
711	1628970	9310	9228	245557
712	189412	3000	250	8803
713	30050	3000	250	3019
714	12458	3000	0	1366
715	81311	3000	250	18595
716	174102	4332	250	13973
717	195859	3000	250	4967
718	23823621	128194	159450	3741879
719	3483581	3718	0	217203
720	9163271	34374	121606	255568
721	225977	3000	250	20393
722	96802	3000	250	0
723	128915	0	0	4041
724	129136	3000	0	0
725	231478	3000	0	0
726	742703	3000	0	36939
727	650000	10871	250	17500
728	92744	3000	0	0
729	2224769	4594	0	128124
730	494438	3952	0	4832
731	23669	0	0	0
